id|num|Nombre|Descripcion|tamanio|Modelo|cantidad|PRECIO|tipo|estado
|1|BOCADITOS SURTIDOS|50 BOCADITOS DULCES Y SALADOS ||UNIDADES || 10.00 |5|A
|2|TORTA HELADA DE 1/4KG |TORTA HELADA CON KEKE DE CHOLATE  ||MOLDE || 10.00 |5|A
